City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Turukhansk,RU,2021-11-12 19:30:18,65.8167,87.9833,9.5,81,100,16.28,overcast clouds
116,Sayyan,YE,2021-11-12 19:30:18,15.1718,44.3244,53.71,28,60,4.81,broken clouds
117,Balaghat,IN,2021-11-12 19:30:18,21.8,80.1833,69.06,78,96,5.5,overcast clouds
118,Tiznit,MA,2021-11-12 19:30:18,29.5833,-9.5,54.57,82,0,1.79,clear sky
119,Finote Selam,ET,2021-11-12 19:30:19,10.7,37.2667,57.45,89,91,4.41,overcast clouds
120,Sozimskiy,RU,2021-11-12 19:30:19,59.7418,52.2482,30.9,96,100,5.7,overcast clouds
121,Castro,BR,2021-11-12 19:30:20,-24.7911,-50.0119,64.53,70,47,10.04,scattered clouds
122,Payo,ID,2021-11-12 19:30:20,-3.7508,103.6372,73.09,97,100,2.3,overcast clouds
123,Upernavik,GL,2021-11-12 19:30:20,72.7868,-56.1549,6.12,79,34,8.59,scattered clouds
124,Luwuk,ID,2021-11-12 19:30:21,-0.9516,122.7875,78.03,83,99,3.33,overcast clouds
125,Port Blair,IN,2021-11-12 19:30:21,11.6667,92.75,77.74,86,95,4.76,overcast clouds
126,Butaritari,KI,2021-11-12 19:30:22,3.0707,172.7902,82.18,71,86,14.61,light rain
127,Chokurdakh,RU,2021-11-12 19:30:22,70.6333,147.9167,-2.33,96,100,8.79,overcast clouds
128,Hasaki,JP,2021-11-12 19:30:23,35.7333,140.8333,43.2,64,4,8.68,clear sky
129,Huanren,CN,2021-11-12 19:30:23,41.2647,125.3667,29.61,73,0,3.74,clear sky
130,Keffi,NG,2021-11-12 19:30:23,8.8486,7.8736,82.78,57,93,0.81,overcast clouds
131,Yacuiba,BO,2021-11-12 19:30:24,-22.038,-63.6797,93.97,46,75,0.0,broken clouds
132,Narsaq,GL,2021-11-12 19:30:24,60.9167,-46.05,17.82,66,95,7.85,overcast clouds
133,Coahuayana,MX,2021-11-12 19:30:25,18.7333,-103.6833,87.28,62,45,6.29,scattered clouds
134,Hami,CN,2021-11-12 19:30:25,42.8,93.45,28.63,53,0,3.71,clear sky
135,New Norfolk,AU,2021-11-12 19:30:26,-42.7826,147.0587,46.65,72,100,1.99,overcast clouds
136,Wewak,PG,2021-11-12 19:30:26,-3.5534,143.6268,80.08,78,92,2.64,overcast clouds
137,Mana,GF,2021-11-12 19:31:27,5.6592,-53.7767,82.17,73,52,8.75,broken clouds
138,Lebu,CL,2021-11-12 19:31:06,-37.6167,-73.65,55.98,78,100,10.67,overcast clouds
139,Alta Floresta,BR,2021-11-12 19:31:27,-9.8756,-56.0861,89.42,55,40,5.75,scattered clouds
140,Richards Bay,ZA,2021-11-12 19:31:28,-28.783,32.0377,71.94,84,90,16.87,overcast clouds
141,Obo,CF,2021-11-12 19:31:28,5.3998,26.4869,69.1,84,78,4.12,broken clouds
142,Quime,BO,2021-11-12 19:31:28,-16.9833,-67.2167,60.82,65,100,6.13,overcast clouds
143,Bambous Virieux,MU,2021-11-12 19:31:29,-20.3428,57.7575,74.21,83,40,3.44,scattered clouds
144,Vardo,NO,2021-11-12 19:31:29,70.3705,31.1107,24.78,86,40,10.36,scattered clouds
145,Ariquemes,BR,2021-11-12 19:30:49,-9.9133,-63.0408,74.93,91,96,3.69,overcast clouds
146,Panalingaan,PH,2021-11-12 19:31:30,8.7842,117.4231,77.68,88,99,2.15,overcast clouds
147,Mamallapuram,IN,2021-11-12 19:31:30,12.6264,80.1722,80.65,88,75,5.61,broken clouds
148,Mahebourg,MU,2021-11-12 19:31:31,-20.4081,57.7,74.25,83,40,3.44,scattered clouds
149,Kiunga,PG,2021-11-12 19:31:31,-6.1219,141.2906,73.06,100,100,1.88,heavy intensity rain
150,Poum,NC,2021-11-12 19:31:32,-20.2333,164.0167,78.13,79,55,11.95,broken clouds
151,San Cristobal,VE,2021-11-12 19:31:33,7.7669,-72.225,80.78,36,33,4.41,scattered clouds
152,Necochea,AR,2021-11-12 19:30:06,-38.5473,-58.7368,80.04,37,100,12.55,overcast clouds
153,Hafizabad,PK,2021-11-12 19:31:33,32.0679,73.6854,63.91,26,0,3.74,clear sky
154,Chuy,UY,2021-11-12 19:31:34,-33.6971,-53.4616,64.56,58,98,14.38,overcast clouds
