City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Wanning,CN,2021-11-09 21:33:28,18.8003,110.3967,68.86,81,100,13.98
239,Bandarbeyla,SO,2021-11-09 21:33:28,9.4942,50.8122,78.69,79,23,17.0
240,Tamandare,BR,2021-11-09 21:33:28,-8.7597,-35.1047,77.95,78,38,7.18
241,Batemans Bay,AU,2021-11-09 21:30:04,-35.7167,150.1833,65.19,95,100,1.81
242,Vanavara,RU,2021-11-09 21:33:29,60.34,102.2797,23.99,95,100,9.13
243,Hambantota,LK,2021-11-09 21:33:29,6.1241,81.1185,75.54,100,100,3.44
244,Basco,PH,2021-11-09 21:33:29,20.4487,121.9702,76.75,81,99,24.36
245,Noyon,FR,2021-11-09 21:33:30,49.5833,3.0,40.8,84,33,1.79
246,Kedrovyy,RU,2021-11-09 21:33:30,56.1667,91.8167,25.21,84,100,4.92
247,Mao,ES,2021-11-09 21:33:30,39.8885,4.2658,61.36,77,75,16.11
248,Avera,US,2021-11-09 21:33:31,33.194,-82.5271,78.67,34,1,2.44
249,Cortez,US,2021-11-09 21:33:31,37.3489,-108.5859,58.68,25,40,8.05
250,Walvis Bay,NA,2021-11-09 21:33:31,-22.9575,14.5053,58.15,82,3,10.36
251,Bereda,ES,2021-11-09 21:33:31,43.2686,-7.5406,53.91,100,76,4.97
252,Hithadhoo,MV,2021-11-09 21:33:32,-0.6,73.0833,82.85,72,79,19.95
253,College,US,2021-11-09 21:33:32,64.8569,-147.8028,15.46,75,90,4.61
254,Berlevag,NO,2021-11-09 21:33:32,70.8578,29.0864,24.8,74,100,26.46
255,Thohoyandou,ZA,2021-11-09 21:33:33,-22.9456,30.485,65.14,78,99,11.39
256,Fortuna,US,2021-11-09 21:33:33,40.5982,-124.1573,58.93,65,90,3.0
257,Takoradi,GH,2021-11-09 21:33:33,4.8845,-1.7554,78.17,86,97,5.66
258,Shubarshi,KZ,2021-11-09 21:33:34,48.5872,57.1869,47.01,85,100,17.98
259,Nhulunbuy,AU,2021-11-09 21:33:34,-12.2333,136.7667,79.41,89,40,1.14
260,Agen,FR,2021-11-09 21:33:34,44.2,0.6333,42.13,93,5,2.3
261,Sisimiut,GL,2021-11-09 21:33:35,66.9395,-53.6735,13.32,83,74,11.7
262,Tuktoyaktuk,CA,2021-11-09 21:33:35,69.4541,-133.0374,12.2,92,75,10.36
263,Presidencia Roque Saenz Pena,AR,2021-11-09 21:33:35,-26.7852,-60.4388,84.2,38,99,6.96
264,Bobrovka,RU,2021-11-09 21:33:36,54.047,61.7455,38.59,97,100,10.33
265,Cabedelo,BR,2021-11-09 21:33:36,-6.9811,-34.8339,81.27,73,33,11.18
266,Hvide Sande,DK,2021-11-09 21:33:36,56.0045,8.1294,54.18,90,100,25.14
267,Padang,ID,2021-11-09 21:33:36,-0.9492,100.3543,78.85,86,100,3.42
268,Callaway,US,2021-11-09 21:33:37,30.153,-85.5699,72.95,49,1,3.0
269,Hualmay,PE,2021-11-09 21:33:37,-11.0964,-77.6139,67.51,76,78,10.54
