City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
509,Marabba,SD,88.68,clear sky,12.35,32.1833,
510,Sinnamary,GF,81.95,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
513,Dzaoudzi,YT,80.49,clear sky,-12.7887,45.2699,Le Rocher
516,The Valley,AI,86.14,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
522,Alyangula,AU,76.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
523,Wajir,KE,85.44,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
525,Pemba,MZ,80.15,clear sky,-12.974,40.5178,Guesthouse Samotina
527,Dois Riachos,BR,87.93,overcast clouds,-9.3925,-37.1006,Casa do Pipoca
529,Labuan,MY,75.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
530,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
535,Araouane,ML,78.13,overcast clouds,18.9048,-3.5265,
540,Takoradi,GH,80.08,overcast clouds,4.8845,-1.7554,Raybow International Hotel
549,Makakilo City,US,81.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
551,Mangrol,IN,75.99,clear sky,21.1167,70.1167,Hotel The Royal Honours
552,Manacapuru,BR,90.18,overcast clouds,-3.2997,-60.6206,Novo Hotel
553,Sokoni,TZ,80.89,clear sky,-6.4333,39.55,Ujamaa Beach Resort
554,Isla Mujeres,MX,80.17,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
555,Amalapuram,IN,76.35,overcast clouds,16.5833,82.0167,swayamprabha service apartments
560,Atar,MR,81.14,scattered clouds,20.5169,-13.0499,Oumou Elghoura
561,Eruwa,NG,78.39,broken clouds,7.5333,3.4167,Yinka Hostel
564,Sulangan,PH,82.02,overcast clouds,11.1373,123.7228,Maia's Beach Resort
566,Viedma,AR,82.99,broken clouds,-40.8135,-62.9967,Hotel Cristal
567,Marakkanam,IN,75.9,overcast clouds,12.2,79.95,OYO 73765 Ocean Breeze Guest House
572,Amahai,ID,79.23,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
577,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
579,Pahrump,US,77.05,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
581,Anloga,GH,82.62,broken clouds,5.7947,0.8973,Pin Drop Hotel
586,Tautira,PF,80.62,broken clouds,-17.7333,-149.15,Pension Oaoa
587,Thinadhoo,MV,81.9,scattered clouds,0.5333,72.9333,
602,Varzea Grande,BR,76.87,light rain,-15.6467,-56.1325,Hotel Express
607,Triunfo,BR,80.58,clear sky,-29.9433,-51.7181,Ilha das Pedras de Triunfo Hotel/RS
609,Nicoya,CR,87.35,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
621,Havelock,US,76.98,scattered clouds,34.8791,-76.9013,Sherwood Motel
630,Tiarei,PF,80.62,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
637,Pala,TD,80.4,broken clouds,9.3642,14.9046,Nectar Hôtel de Pala
641,Vanimo,PG,77.41,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
642,Gao,ML,80.53,overcast clouds,16.6362,1.637,
643,Mahibadhoo,MV,81.95,few clouds,3.7833,72.9667,Omadhoo Inn
646,Sambava,MG,75.51,light rain,-14.2667,50.1667,Melrose
654,Kayes,ML,85.32,overcast clouds,14.0,-11.0,
657,Conde,BR,83.66,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
658,Sibolga,ID,75.87,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
661,Barra Dos Coqueiros,BR,84.22,few clouds,-10.9089,-37.0386,Jangadeiro
662,Itaituba,BR,91.56,heavy intensity rain,-4.2761,-55.9836,Hotel Campos
663,Gamba,GA,77.63,overcast clouds,-2.65,10.0,
664,Ransang,PH,78.03,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
665,Les Cayes,HT,85.23,overcast clouds,18.2,-73.75,Villa Orphee
666,Delta Del Tigre,UY,78.21,overcast clouds,-34.7633,-56.3853,FINCA SUAREZ
672,Darapidap,PH,76.95,scattered clouds,17.2131,120.4114,Candon Beach Resort
675,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
681,Piacabucu,BR,80.31,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
